state,district,crop_type,season,irrigation_type,soil_type,land_size_acres,land_size_hectares,recommended_dose_kg_per_acre,max_allowed_qty_kg,past_fertilizer_usage_kg,expected_yield_kg,yield_per_ha_kg
Jharkhand,JharkhandDist120,Pulses,Zaid,Borewell,Loam,13.76,5.568,10,159.63,129.06,3888.8,700
Gujarat,GujaratDist140,Cotton,Zaid,Canal,Sandy,1.19,0.482,20,23.08,19.6,373.48,700
Andhra Pradesh,AndhraDist118,Paddy,Kharif,Rainfed,Loam,1.23,0.498,50,61.15,49.47,1917.19,4000
Arunachal Pradesh,ArunachalDist126,Paddy,Kharif,Borewell,Sandy,4.2,1.7,50,228.76,167.37,7219.01,4000
Maharashtra,MaharashtraDist142,Maize,Rabi,Rainfed,Clay,3.14,1.271,30,96.01,91.35,4434.9,3500
Sikkim,SikkimDist97,Potato,Rabi,Canal,Loam,7.98,3.229,40,359.43,272.72,80606.33,25000
Punjab,PunjabDist94,Paddy,Kharif,Rainfed,Clay,2.91,1.178,50,136.03,89.96,4067.73,4000
Kerala,KeralaDist92,Rubber,Zaid,Borewell,Sandy,1.37,0.554,10,13.51,9.09,5286.63,10000
Maharashtra,MaharashtraDist177,Sugarcane,Kharif,Rainfed,Loam,2.92,1.182,80,225.31,187.55,72418.05,70000
Assam,AssamDist109,Tea,Kharif,Borewell,Loam,4.42,1.789,10,50.08,27.59,4683.43,2500
Odisha,OdishaDist100,Groundnut,Rabi,Borewell,Clay,3.51,1.42,25,95.6,108.88,2189.36,1600
Karnataka,KarnatakaDist171,Ragi,Rabi,Borewell,Sandy,2.73,1.105,15,39.26,37.79,1208.02,1000
Karnataka,KarnatakaDist20,Maize,Zaid,Borewell,Clay,4.28,1.732,30,129.47,130.07,6924.44,3500
Uttarakhand,UttarakhandDist191,Rice,Rabi,Borewell,Clay,4.64,1.878,30,163.59,119.9,5169.99,3000
Assam,AssamDist54,Paddy,Kharif,Canal,Clay,5.51,2.23,50,270.02,308.77,8853.11,4000
Kerala,KeralaDist81,Paddy,Kharif,Rainfed,Clay,3.06,1.238,50,148.39,121.63,5196.26,4000
Gujarat,GujaratDist5,Cotton,Rabi,Borewell,Sandy,1.59,0.643,20,32.06,34.86,407.26,700
Rajasthan,RajasthanDist120,Cotton,Zaid,Rainfed,Sandy,2.05,0.83,20,37.74,42.21,637.16,700
Himachal Pradesh,HimachalDist52,Maize,Zaid,Rainfed,Clay,4.78,1.934,30,150.8,153.77,5876.47,3500
Kerala,KeralaDist82,Coconut,Kharif,Borewell,Sandy,0.95,0.384,10,10.02,7.55,3016.0,8000
West Bengal,WestDist176,Paddy,Kharif,Rainfed,Clay,2.45,0.991,50,113.28,96.36,3562.1,4000
Punjab,PunjabDist80,Wheat,Rabi,Canal,Loam,1.33,0.538,45,62.68,36.99,2051.69,3500
Manipur,ManipurDist35,Maize,Zaid,Rainfed,Clay,1.86,0.753,30,55.63,34.82,2365.28,3500
Andhra Pradesh,AndhraDist6,Maize,Rabi,Rainfed,Loam,5.07,2.052,30,159.13,95.44,7660.44,3500
Arunachal Pradesh,ArunachalDist94,Paddy,Kharif,Borewell,Clay,2.12,0.858,50,121.7,125.65,3336.0,4000
Sikkim,SikkimDist129,Paddy,Kharif,Borewell,Sandy,1.89,0.765,50,102.61,71.2,3124.57,4000
Bihar,BiharDist24,Wheat,Rabi,Rainfed,Sandy,0.61,0.247,45,27.5,33.09,799.67,3500
Haryana,HaryanaDist192,Cotton,Kharif,Rainfed,Clay,3.31,1.34,20,62.0,64.86,906.7,700
Telangana,TelanganaDist113,Paddy,Kharif,Rainfed,Loam,3.05,1.234,50,144.34,108.86,5633.2,4000
Maharashtra,MaharashtraDist109,Sugarcane,Zaid,Borewell,Sandy,10.28,4.16,80,816.19,1000.58,275180.13,70000
Meghalaya,MeghalayaDist6,Paddy,Kharif,Rainfed,Loam,1.42,0.575,50,70.3,75.63,2520.23,4000
Rajasthan,RajasthanDist172,Cotton,Kharif,Rainfed,Sandy,2.17,0.878,20,42.29,27.58,691.7,700
Haryana,HaryanaDist176,Paddy,Kharif,Canal,Clay,2.22,0.898,50,122.12,117.15,4028.25,4000
Bihar,BiharDist66,Wheat,Rabi,Rainfed,Clay,6.44,2.606,45,274.68,345.26,8828.76,3500
Jharkhand,JharkhandDist113,Paddy,Kharif,Rainfed,Loam,1.69,0.684,50,82.56,97.9,2456.83,4000
Rajasthan,RajasthanDist200,Wheat,Rabi,Rainfed,Sandy,2.28,0.923,45,92.71,63.82,3584.41,3500
Meghalaya,MeghalayaDist42,Millet,Zaid,Canal,Clay,2.96,1.198,15,49.58,51.94,1181.66,900
Tamil Nadu,TamilDist117,Sugarcane,Zaid,Borewell,Clay,2.12,0.858,80,185.28,191.43,64339.54,70000
Tamil Nadu,TamilDist35,Paddy,Kharif,Rainfed,Sandy,1.27,0.514,50,60.08,64.11,2235.29,4000
Andhra Pradesh,AndhraDist183,Maize,Kharif,Rainfed,Clay,2.13,0.862,30,62.84,42.94,2790.31,3500
Tripura,TripuraDist189,Paddy,Kharif,Rainfed,Sandy,4.3,1.74,50,194.44,260.28,6859.31,4000
Chhattisgarh,ChhattisgarhDist47,Maize,Kharif,Rainfed,Clay,0.8,0.324,30,24.62,17.5,1104.06,3500
Madhya Pradesh,MadhyaDist23,Soybean,Zaid,Borewell,Loam,2.03,0.822,20,49.44,41.44,1023.27,1200
Manipur,ManipurDist39,Paddy,Kharif,Borewell,Loam,1.04,0.421,50,53.31,52.09,1734.2,4000
Assam,AssamDist117,Tea,Kharif,Rainfed,Loam,4.74,1.918,10,43.63,44.64,5188.8,2500
Uttarakhand,UttarakhandDist69,Wheat,Rabi,Borewell,Sandy,0.54,0.219,45,23.28,29.52,836.77,3500
Jharkhand,JharkhandDist73,Pulses,Rabi,Borewell,Clay,1.17,0.473,10,13.41,11.58,380.68,700
Telangana,TelanganaDist61,Cotton,Kharif,Canal,Clay,2.46,0.996,20,55.71,30.44,796.41,700
Punjab,PunjabDist121,Paddy,Kharif,Rainfed,Clay,6.38,2.582,50,314.14,325.6,9044.1,4000
Chhattisgarh,ChhattisgarhDist66,Maize,Zaid,Borewell,Loam,1.73,0.7,30,60.81,55.04,2623.94,3500
Assam,AssamDist156,Paddy,Kharif,Canal,Loam,1.17,0.473,50,63.63,44.03,2125.88,4000
Sikkim,SikkimDist95,Paddy,Kharif,Borewell,Sandy,8.21,3.322,50,427.46,327.02,12870.06,4000
Chhattisgarh,ChhattisgarhDist120,Soybean,Kharif,Canal,Clay,0.57,0.231,20,11.42,10.49,263.45,1200
Chhattisgarh,ChhattisgarhDist33,Paddy,Kharif,Borewell,Sandy,0.31,0.125,50,15.56,11.92,473.7,4000
Meghalaya,MeghalayaDist195,Millet,Zaid,Borewell,Clay,2.59,1.048,15,39.84,45.45,975.28,900
Himachal Pradesh,HimachalDist39,Maize,Rabi,Canal,Loam,1.22,0.494,30,39.67,45.62,1864.7,3500
Nagaland,NagalandDist181,Maize,Kharif,Borewell,Loam,0.8,0.324,30,25.56,14.96,1051.61,3500
Manipur,ManipurDist125,Maize,Kharif,Rainfed,Clay,3.21,1.299,30,84.91,80.1,4831.76,3500
Manipur,ManipurDist47,Maize,Kharif,Rainfed,Loam,2.21,0.894,30,62.48,43.81,3475.99,3500
Uttarakhand,UttarakhandDist2,Rice,Zaid,Canal,Clay,1.16,0.469,30,37.73,35.88,1286.8,3000
Mizoram,MizoramDist85,Paddy,Kharif,Canal,Loam,0.65,0.263,50,34.73,30.02,924.12,4000
Andhra Pradesh,AndhraDist83,Maize,Zaid,Rainfed,Loam,3.66,1.481,30,109.4,108.01,5885.77,3500
Chhattisgarh,ChhattisgarhDist153,Paddy,Kharif,Borewell,Sandy,3.07,1.242,50,161.06,137.4,5648.19,4000
Sikkim,SikkimDist188,Paddy,Kharif,Borewell,Loam,1.68,0.68,50,97.35,102.32,2576.65,4000
Telangana,TelanganaDist191,Cotton,Kharif,Borewell,Loam,7.98,3.229,20,190.09,125.11,2462.77,700
Assam,AssamDist6,Tea,Kharif,Borewell,Loam,0.77,0.312,10,8.22,8.48,755.4,2500
West Bengal,WestDist31,Paddy,Kharif,Borewell,Clay,0.54,0.219,50,27.7,29.41,914.52,4000
Jharkhand,JharkhandDist25,Maize,Rabi,Rainfed,Clay,1.05,0.425,30,32.94,31.26,1424.33,3500
Uttarakhand,UttarakhandDist154,Wheat,Rabi,Canal,Clay,1.76,0.712,45,83.92,67.5,2319.72,3500
Maharashtra,MaharashtraDist132,Cotton,Rabi,Rainfed,Sandy,2.21,0.894,20,38.19,44.64,549.6,700
Karnataka,KarnatakaDist166,Sugarcane,Zaid,Borewell,Sandy,1.5,0.607,80,127.21,144.59,42839.8,70000
Mizoram,MizoramDist33,Paddy,Kharif,Borewell,Clay,2.41,0.975,50,118.41,135.08,3667.57,4000
Sikkim,SikkimDist12,Potato,Rabi,Rainfed,Sandy,0.67,0.271,40,24.32,25.98,6882.19,25000
Mizoram,MizoramDist65,Paddy,Kharif,Canal,Clay,5.78,2.339,50,284.91,297.54,9548.56,4000
Kerala,KeralaDist47,Coconut,Zaid,Borewell,Sandy,1.71,0.692,10,15.75,18.49,5474.46,8000
Uttarakhand,UttarakhandDist117,Wheat,Rabi,Borewell,Clay,4.45,1.801,45,230.31,158.89,6467.89,3500
Tripura,TripuraDist48,Maize,Zaid,Rainfed,Clay,2.4,0.971,30,76.15,83.98,3080.36,3500
Assam,AssamDist168,Tea,Zaid,Borewell,Sandy,2.63,1.064,10,24.23,22.53,2272.31,2500
Meghalaya,MeghalayaDist159,Millet,Zaid,Canal,Sandy,2.87,1.161,15,47.8,42.67,1041.14,900
Uttarakhand,UttarakhandDist35,Wheat,Rabi,Rainfed,Sandy,2.61,1.056,45,111.83,131.9,3239.48,3500
Andhra Pradesh,AndhraDist124,Paddy,Kharif,Borewell,Loam,3.05,1.234,50,178.09,110.16,4236.31,4000
Rajasthan,RajasthanDist198,Bajra,Zaid,Borewell,Sandy,5.28,2.137,12,68.99,60.2,1684.28,900
Manipur,ManipurDist114,Paddy,Kharif,Canal,Loam,2.13,0.862,50,110.76,126.37,3694.92,4000
Meghalaya,MeghalayaDist101,Millet,Kharif,Rainfed,Sandy,3.21,1.299,15,42.09,38.12,1284.69,900
Arunachal Pradesh,ArunachalDist149,Millet,Kharif,Borewell,Sandy,1.7,0.688,15,25.6,22.19,618.37,900
Punjab,PunjabDist174,Paddy,Kharif,Borewell,Clay,5.77,2.335,50,308.14,283.93,9652.57,4000
Uttarakhand,UttarakhandDist17,Wheat,Rabi,Borewell,Loam,1.06,0.429,45,53.94,41.7,1418.44,3500
Himachal Pradesh,HimachalDist179,Maize,Rabi,Rainfed,Loam,7.7,3.116,30,234.79,279.59,10404.92,3500
Maharashtra,MaharashtraDist151,Cotton,Kharif,Borewell,Loam,1.76,0.712,20,39.35,31.14,499.72,700
Sikkim,SikkimDist183,Potato,Rabi,Rainfed,Sandy,0.58,0.235,40,22.01,15.9,5504.24,25000
Madhya Pradesh,MadhyaDist160,Soybean,Zaid,Rainfed,Clay,2.02,0.817,20,41.42,45.24,1082.35,1200
Gujarat,GujaratDist126,Cotton,Zaid,Rainfed,Sandy,1.06,0.429,20,19.45,15.11,269.32,700
Bihar,BiharDist67,Maize,Rabi,Borewell,Loam,3.57,1.445,30,121.78,133.82,4842.34,3500
Kerala,KeralaDist159,Rubber,Kharif,Borewell,Sandy,1.08,0.437,10,9.98,6.93,4279.64,10000
Haryana,HaryanaDist12,Wheat,Rabi,Canal,Clay,1.28,0.518,45,58.76,47.3,1734.26,3500
Tripura,TripuraDist113,Maize,Kharif,Rainfed,Sandy,0.4,0.162,30,11.27,8.01,490.15,3500
Uttar Pradesh,UttarDist27,Paddy,Kharif,Rainfed,Loam,1.27,0.514,50,70.62,70.36,2123.44,4000
Uttarakhand,UttarakhandDist187,Rice,Zaid,Borewell,Sandy,0.26,0.105,30,7.34,5.72,302.55,3000
Jharkhand,JharkhandDist86,Pulses,Rabi,Rainfed,Clay,0.51,0.206,10,5.17,3.39,150.85,700
Uttarakhand,UttarakhandDist122,Rice,Kharif,Rainfed,Clay,3.35,1.356,30,106.35,110.55,3465.07,3000
Karnataka,KarnatakaDist162,Paddy,Kharif,Canal,Loam,3.42,1.384,50,183.48,182.09,5394.95,4000
Sikkim,SikkimDist106,Paddy,Kharif,Borewell,Sandy,2.56,1.036,50,128.23,95.78,4519.15,4000
Maharashtra,MaharashtraDist184,Soybean,Zaid,Rainfed,Clay,0.84,0.34,20,17.7,14.91,440.98,1200
Uttar Pradesh,UttarDist101,Sugarcane,Kharif,Borewell,Clay,1.75,0.708,80,147.05,154.29,48593.58,70000
Tripura,TripuraDist183,Paddy,Kharif,Rainfed,Sandy,1.82,0.737,50,78.04,88.59,3368.35,4000
Uttar Pradesh,UttarDist78,Sugarcane,Zaid,Rainfed,Clay,0.72,0.291,80,54.74,60.05,20724.22,70000
Telangana,TelanganaDist38,Cotton,Rabi,Rainfed,Loam,6.07,2.456,20,131.44,143.88,1776.46,700
Tamil Nadu,TamilDist89,Sugarcane,Rabi,Rainfed,Sandy,3.68,1.489,80,277.62,294.94,102437.78,70000
Uttar Pradesh,UttarDist185,Sugarcane,Rabi,Rainfed,Clay,1.53,0.619,80,108.94,116.2,41911.53,70000
Telangana,TelanganaDist134,Paddy,Kharif,Canal,Sandy,1.86,0.753,50,90.61,61.41,3057.64,4000
Karnataka,KarnatakaDist186,Maize,Kharif,Borewell,Sandy,2.15,0.87,30,66.82,48.82,3295.73,3500
Maharashtra,MaharashtraDist194,Cotton,Zaid,Borewell,Clay,0.36,0.146,20,7.35,6.7,90.47,700
Rajasthan,RajasthanDist191,Bajra,Rabi,Borewell,Sandy,1.5,0.607,12,16.54,14.77,503.07,900
Odisha,OdishaDist36,Paddy,Kharif,Borewell,Clay,1.06,0.429,50,58.62,59.88,1753.33,4000
Tamil Nadu,TamilDist93,Sugarcane,Zaid,Rainfed,Loam,0.82,0.332,80,64.49,64.19,25478.79,70000
Manipur,ManipurDist34,Paddy,Kharif,Borewell,Clay,1.46,0.591,50,83.22,47.69,2052.96,4000
Meghalaya,MeghalayaDist200,Paddy,Kharif,Canal,Clay,7.68,3.108,50,425.52,330.93,12651.89,4000
Madhya Pradesh,MadhyaDist188,Soybean,Zaid,Canal,Clay,3.04,1.23,20,71.46,63.71,1674.63,1200
Maharashtra,MaharashtraDist136,Maize,Kharif,Canal,Clay,1.15,0.465,30,38.48,23.6,1728.8,3500
Bihar,BiharDist31,Wheat,Rabi,Borewell,Clay,2.88,1.165,45,126.08,90.97,4151.47,3500
Punjab,PunjabDist96,Paddy,Kharif,Borewell,Clay,5.58,2.258,50,303.01,174.71,8093.13,4000
Jharkhand,JharkhandDist13,Maize,Rabi,Borewell,Loam,3.82,1.546,30,136.23,79.35,5556.13,3500
Jharkhand,JharkhandDist12,Maize,Kharif,Borewell,Sandy,1.91,0.773,30,58.17,38.94,2582.49,3500
Maharashtra,MaharashtraDist185,Soybean,Zaid,Borewell,Clay,1.09,0.441,20,25.18,24.15,525.4,1200
Uttarakhand,UttarakhandDist187,Rice,Kharif,Canal,Clay,3.19,1.291,30,107.75,98.92,3465.02,3000
Karnataka,KarnatakaDist12,Ragi,Zaid,Rainfed,Clay,2.5,1.012,15,35.53,44.44,962.85,1000
Sikkim,SikkimDist162,Potato,Rabi,Rainfed,Sandy,3.73,1.509,40,126.26,105.58,32357.25,25000
Uttar Pradesh,UttarDist139,Sugarcane,Rabi,Canal,Loam,3.03,1.226,80,280.28,158.86,97554.63,70000
Odisha,OdishaDist31,Paddy,Kharif,Rainfed,Sandy,4.22,1.708,50,182.41,191.86,7644.41,4000
Sikkim,SikkimDist149,Paddy,Kharif,Rainfed,Clay,1.19,0.482,50,60.9,45.19,2045.13,4000
Manipur,ManipurDist6,Paddy,Kharif,Rainfed,Sandy,5.23,2.117,50,232.25,257.0,8444.38,4000
Karnataka,KarnatakaDist26,Sugarcane,Kharif,Canal,Sandy,2.13,0.862,80,167.17,130.73,53363.17,70000
Nagaland,NagalandDist105,Paddy,Kharif,Borewell,Loam,9.59,3.881,50,513.38,315.63,14623.98,4000
Sikkim,SikkimDist26,Paddy,Kharif,Borewell,Clay,1.05,0.425,50,52.72,55.84,1596.69,4000
Karnataka,KarnatakaDist52,Maize,Rabi,Rainfed,Clay,7.31,2.958,30,207.31,249.57,9176.56,3500
Haryana,HaryanaDist16,Cotton,Zaid,Borewell,Sandy,2.13,0.862,20,45.49,36.22,533.71,700
Karnataka,KarnatakaDist5,Sugarcane,Zaid,Canal,Clay,1.08,0.437,80,83.99,87.42,34391.66,70000
Himachal Pradesh,HimachalDist146,Maize,Zaid,Rainfed,Loam,1.24,0.502,30,39.8,38.07,1559.05,3500
Maharashtra,MaharashtraDist44,Soybean,Kharif,Rainfed,Sandy,1.41,0.571,20,24.45,34.66,658.7,1200
Uttar Pradesh,UttarDist119,Wheat,Rabi,Canal,Clay,2.56,1.036,45,134.54,110.69,3127.55,3500
Uttarakhand,UttarakhandDist154,Wheat,Rabi,Rainfed,Loam,2.77,1.121,45,114.4,150.43,3902.47,3500
Himachal Pradesh,HimachalDist42,Maize,Rabi,Rainfed,Sandy,1.15,0.465,30,29.97,39.55,1522.0,3500
Telangana,TelanganaDist143,Cotton,Zaid,Borewell,Loam,1.79,0.724,20,39.43,24.34,452.25,700
Himachal Pradesh,HimachalDist88,Paddy,Kharif,Borewell,Sandy,10.11,4.091,50,560.45,407.89,17259.57,4000
Rajasthan,RajasthanDist88,Wheat,Rabi,Rainfed,Sandy,7.26,2.938,45,297.96,248.24,11773.16,3500
Gujarat,GujaratDist2,Cotton,Zaid,Borewell,Sandy,2.58,1.044,20,48.73,61.89,754.72,700
Andhra Pradesh,AndhraDist167,Groundnut,Kharif,Canal,Sandy,1.88,0.761,25,49.73,51.49,1231.22,1600
Rajasthan,RajasthanDist97,Bajra,Zaid,Borewell,Sandy,2.01,0.813,12,24.28,16.41,835.75,900
Uttarakhand,UttarakhandDist50,Wheat,Rabi,Borewell,Sandy,2.98,1.206,45,149.38,91.34,4056.87,3500
Manipur,ManipurDist50,Paddy,Kharif,Borewell,Loam,0.8,0.324,50,47.26,41.69,1376.27,4000
Assam,AssamDist181,Tea,Zaid,Borewell,Clay,1.48,0.599,10,17.3,9.23,1494.12,2500
Tamil Nadu,TamilDist127,Cotton,Kharif,Borewell,Sandy,0.48,0.194,20,9.57,11.19,138.79,700
Goa,GoaDist151,Paddy,Kharif,Rainfed,Sandy,2.51,1.016,50,119.43,124.49,3667.55,4000
Chhattisgarh,ChhattisgarhDist71,Soybean,Kharif,Borewell,Sandy,3.06,1.238,20,66.61,71.77,1588.05,1200
Gujarat,GujaratDist117,Paddy,Kharif,Borewell,Sandy,1.24,0.502,50,65.28,61.96,2116.04,4000
Andhra Pradesh,AndhraDist105,Maize,Zaid,Rainfed,Sandy,6.42,2.598,30,161.72,233.08,8909.29,3500
Himachal Pradesh,HimachalDist58,Apple,Zaid,Canal,Clay,0.68,0.275,5,3.54,3.72,6137.44,20000
Arunachal Pradesh,ArunachalDist147,Millet,Rabi,Canal,Clay,0.56,0.227,15,8.12,6.1,178.37,900
Uttar Pradesh,UttarDist64,Wheat,Rabi,Rainfed,Loam,2.18,0.882,45,109.17,85.88,2693.55,3500
Gujarat,GujaratDist7,Groundnut,Rabi,Borewell,Sandy,4.21,1.704,25,109.72,65.06,2670.32,1600
Odisha,OdishaDist86,Groundnut,Rabi,Borewell,Clay,7.01,2.837,25,178.06,143.97,3932.24,1600
Mizoram,MizoramDist149,Paddy,Kharif,Rainfed,Sandy,1.26,0.51,50,59.35,69.09,2116.32,4000
Bihar,BiharDist33,Paddy,Kharif,Rainfed,Loam,4.32,1.748,50,214.49,254.57,7398.64,4000
Arunachal Pradesh,ArunachalDist14,Millet,Kharif,Borewell,Sandy,1.77,0.716,15,26.65,17.69,558.76,900
Jharkhand,JharkhandDist3,Maize,Rabi,Borewell,Clay,1.59,0.643,30,48.41,47.21,2359.99,3500
Manipur,ManipurDist7,Maize,Rabi,Rainfed,Sandy,3.69,1.493,30,104.29,90.86,5912.64,3500
Manipur,ManipurDist50,Maize,Zaid,Borewell,Loam,3.07,1.242,30,93.67,97.96,4469.52,3500
Odisha,OdishaDist48,Paddy,Kharif,Rainfed,Clay,0.52,0.21,50,24.48,23.74,872.27,4000
Haryana,HaryanaDist167,Wheat,Rabi,Rainfed,Loam,5.94,2.404,45,252.11,261.94,8446.56,3500
Tripura,TripuraDist88,Maize,Rabi,Canal,Sandy,5.5,2.226,30,176.95,114.81,7343.07,3500
Jharkhand,JharkhandDist144,Maize,Kharif,Canal,Sandy,1.1,0.445,30,34.75,21.03,1561.36,3500
West Bengal,WestDist18,Paddy,Kharif,Canal,Loam,2.5,1.012,50,153.7,127.05,3684.18,4000
Karnataka,KarnatakaDist149,Maize,Zaid,Canal,Sandy,2.71,1.097,30,90.54,80.47,3644.01,3500
Odisha,OdishaDist11,Groundnut,Zaid,Borewell,Clay,2.24,0.906,25,56.0,50.14,1576.23,1600
Meghalaya,MeghalayaDist62,Paddy,Kharif,Rainfed,Sandy,1.17,0.473,50,50.93,43.86,1964.34,4000
Meghalaya,MeghalayaDist19,Millet,Zaid,Borewell,Clay,1.06,0.429,15,15.97,19.77,370.18,900
Kerala,KeralaDist196,Paddy,Kharif,Canal,Loam,1.79,0.724,50,96.51,65.01,2972.04,4000
Kerala,KeralaDist185,Paddy,Kharif,Rainfed,Loam,4.66,1.886,50,223.02,166.17,8415.47,4000
Goa,GoaDist6,Cashew,Zaid,Borewell,Loam,2.81,1.137,5,14.32,16.13,1021.81,800
Uttarakhand,UttarakhandDist95,Rice,Rabi,Rainfed,Loam,1.35,0.546,30,39.9,29.83,1617.45,3000
Uttar Pradesh,UttarDist183,Paddy,Kharif,Rainfed,Sandy,3.38,1.368,50,170.13,211.0,6097.82,4000
Assam,AssamDist96,Paddy,Kharif,Borewell,Loam,0.2,0.081,50,11.9,7.25,311.92,4000
Karnataka,KarnatakaDist76,Sugarcane,Zaid,Borewell,Loam,4.57,1.849,80,432.34,358.93,143224.61,70000
Uttar Pradesh,UttarDist131,Wheat,Rabi,Borewell,Loam,0.45,0.182,45,23.35,15.84,565.95,3500
Odisha,OdishaDist100,Groundnut,Kharif,Rainfed,Clay,1.36,0.55,25,34.83,33.99,792.74,1600
Tripura,TripuraDist184,Maize,Rabi,Canal,Loam,0.74,0.299,30,24.09,18.72,1109.3,3500
Meghalaya,MeghalayaDist57,Millet,Rabi,Canal,Sandy,0.65,0.263,15,10.74,9.55,203.83,900
Gujarat,GujaratDist96,Cotton,Kharif,Borewell,Clay,4.61,1.866,20,97.29,77.92,1171.63,700
Himachal Pradesh,HimachalDist11,Maize,Kharif,Borewell,Loam,1.25,0.506,30,40.48,35.15,1627.19,3500
Manipur,ManipurDist98,Maize,Rabi,Canal,Clay,2.4,0.971,30,75.74,80.85,3212.76,3500
Andhra Pradesh,AndhraDist129,Paddy,Kharif,Canal,Clay,1.75,0.708,50,96.38,72.92,2477.93,4000
Mizoram,MizoramDist52,Paddy,Kharif,Rainfed,Loam,2.67,1.081,50,125.13,86.29,3723.38,4000
Karnataka,KarnatakaDist49,Maize,Zaid,Borewell,Clay,1.94,0.785,30,65.33,63.99,3032.59,3500
Tamil Nadu,TamilDist77,Cotton,Kharif,Rainfed,Sandy,0.65,0.263,20,12.53,15.51,156.98,700
Jharkhand,JharkhandDist195,Maize,Rabi,Rainfed,Sandy,4.04,1.635,30,117.21,73.66,5986.79,3500
Chhattisgarh,ChhattisgarhDist142,Maize,Kharif,Borewell,Sandy,1.23,0.498,30,35.41,27.75,1787.65,3500
Tripura,TripuraDist198,Maize,Zaid,Rainfed,Clay,0.52,0.21,30,15.98,12.53,667.56,3500
Tamil Nadu,TamilDist79,Sugarcane,Kharif,Canal,Sandy,1.29,0.522,80,95.33,71.24,40640.58,70000
Telangana,TelanganaDist176,Paddy,Kharif,Canal,Sandy,6.05,2.448,50,327.95,248.32,9555.86,4000
Tripura,TripuraDist36,Maize,Zaid,Canal,Clay,3.6,1.457,30,117.64,104.64,4383.46,3500
Chhattisgarh,ChhattisgarhDist98,Maize,Zaid,Rainfed,Sandy,1.38,0.558,30,41.2,40.28,1890.65,3500
Gujarat,GujaratDist164,Cotton,Kharif,Canal,Loam,1.38,0.558,20,30.88,22.46,445.1,700
Jharkhand,JharkhandDist126,Paddy,Kharif,Borewell,Sandy,1.41,0.571,50,72.47,43.77,2411.86,4000
Andhra Pradesh,AndhraDist18,Paddy,Kharif,Borewell,Clay,9.6,3.885,50,492.29,360.71,16283.87,4000
Manipur,ManipurDist41,Paddy,Kharif,Borewell,Loam,2.47,1.0,50,129.95,143.11,3891.38,4000
Bihar,BiharDist53,Paddy,Kharif,Canal,Clay,2.57,1.04,50,144.18,109.59,4663.87,4000
Chhattisgarh,ChhattisgarhDist80,Paddy,Kharif,Borewell,Sandy,4.15,1.679,50,217.94,145.92,6869.13,4000
Odisha,OdishaDist115,Paddy,Kharif,Canal,Sandy,2.21,0.894,50,111.52,80.79,4104.47,4000
Assam,AssamDist119,Tea,Zaid,Rainfed,Sandy,1.48,0.599,10,13.17,14.36,1493.28,2500
Odisha,OdishaDist183,Paddy,Kharif,Rainfed,Clay,1.56,0.631,50,77.75,93.39,2409.17,4000
Uttar Pradesh,UttarDist111,Paddy,Kharif,Borewell,Loam,1.72,0.696,50,95.1,61.64,2882.58,4000
Manipur,ManipurDist41,Maize,Zaid,Borewell,Sandy,1.77,0.716,30,49.74,55.97,2163.82,3500
Himachal Pradesh,HimachalDist127,Maize,Zaid,Borewell,Loam,3.26,1.319,30,114.25,104.6,4225.8,3500
Maharashtra,MaharashtraDist43,Cotton,Rabi,Borewell,Loam,1.9,0.769,20,42.77,42.05,523.72,700
Himachal Pradesh,HimachalDist98,Apple,Zaid,Borewell,Loam,3.27,1.323,5,16.85,17.19,28449.37,20000
Karnataka,KarnatakaDist172,Sugarcane,Kharif,Borewell,Loam,1.71,0.692,80,146.32,145.13,43158.18,70000
Telangana,TelanganaDist36,Maize,Rabi,Canal,Loam,1.94,0.785,30,66.07,44.09,3118.79,3500
Meghalaya,MeghalayaDist190,Millet,Kharif,Borewell,Loam,0.37,0.15,15,6.37,3.97,119.57,900
Madhya Pradesh,MadhyaDist56,Wheat,Rabi,Borewell,Loam,3.79,1.534,45,198.46,119.35,5139.62,3500
Tamil Nadu,TamilDist134,Paddy,Kharif,Rainfed,Sandy,2.4,0.971,50,104.32,126.35,4277.18,4000
Rajasthan,RajasthanDist2,Cotton,Zaid,Rainfed,Loam,4.05,1.639,20,80.65,64.83,993.23,700
Arunachal Pradesh,ArunachalDist8,Millet,Kharif,Rainfed,Clay,0.2,0.081,15,3.14,2.19,62.27,900
Andhra Pradesh,AndhraDist171,Maize,Kharif,Rainfed,Loam,9.69,3.921,30,279.57,341.13,14947.51,3500
Goa,GoaDist49,Paddy,Kharif,Borewell,Sandy,1.63,0.66,50,76.54,66.23,2687.67,4000
Punjab,PunjabDist92,Wheat,Rabi,Rainfed,Clay,4.42,1.789,45,209.32,134.96,5722.93,3500
Karnataka,KarnatakaDist169,Maize,Kharif,Canal,Clay,0.79,0.32,30,22.95,17.5,1025.0,3500
Uttarakhand,UttarakhandDist197,Wheat,Rabi,Rainfed,Clay,2.97,1.202,45,117.93,157.11,4094.52,3500
Punjab,PunjabDist146,Paddy,Kharif,Rainfed,Loam,0.78,0.316,50,41.33,43.46,1422.55,4000
Goa,GoaDist178,Cashew,Kharif,Canal,Sandy,1.11,0.449,5,5.86,5.78,410.29,800
Chhattisgarh,ChhattisgarhDist86,Maize,Kharif,Rainfed,Sandy,8.43,3.412,30,224.5,291.72,11876.26,3500
